UAD layout act_box (9.0, 34.0) body_short (5.0, 30.0)
UAD CHECK bodies 41 | THREE-WAY candidates 1 | overlapping bodies of different kind 71 | phantom round bodies 228 | uncovered apex-to-apex triangle pairs 6
  overlap (19, 'CHECK', [759, 248, 764, 256], 'BUTTERFLY', [661, 255, 852, 257], 'NONE', 'NONE')
  overlap (19, 'GLOBE', [632, 377, 637, 386], 'BUTTERFLY', [360, 379, 767, 383], 'NONE', 'NONE')
  overlap (19, 'GLOBE', [632, 377, 637, 386], 'BUTTERFLY', [360, 379, 738, 383], 'NONE', 'NONE')
  overlap (19, 'GLOBE', [632, 498, 637, 506], 'BUTTERFLY', [443, 500, 766, 504], 'NONE', 'NONE')
  overlap (19, 'GLOBE', [632, 498, 637, 506], 'BUTTERFLY', [390, 500, 738, 504], 'NONE', 'NONE')
  overlap (19, 'GLOBE', [632, 257, 637, 265], 'BUTTERFLY', [402, 259, 735, 263], 'NONE', 'NONE')
  overlap (19, 'GATE', [715, 250, 720, 259], 'BUTTERFLY', [661, 255, 852, 257], 'NONE', 'NONE')
  overlap (19, 'GATE', [715, 250, 720, 259], 'BUTTERFLY', [711, 207, 715, 648], 'NONE', 'NONE')
  overlap (21, 'GATE', [206, 192, 211, 201], 'BUTTERFLY', [204, 125, 208, 472], 'NONE', 'NONE')
  overlap (21, 'CHECK', [769, 282, 774, 291], 'BUTTERFLY', [768, 194, 770, 424], 'NONE', 'NONE')
  overlap (21, 'GATE', [769, 262, 774, 271], 'BUTTERFLY', [768, 194, 770, 424], 'NONE', 'NONE')
  overlap (21, 'GLOBE', [624, 291, 629, 300], 'BUTTERFLY', [366, 294, 771, 297], 'NONE', 'NONE')
  overlap (21, 'GLOBE', [624, 291, 629, 300], 'BUTTERFLY', [366, 294, 736, 297], 'NONE', 'NONE')
  overlap (21, 'CHECK', [824, 582, 833, 586], 'BUTTERFLY', [722, 580, 920, 582], 'NONE', 'NONE')
  overlap (21, 'GATE', [844, 582, 853, 586], 'BUTTERFLY', [722, 580, 920, 582], 'NONE', 'NONE')
  overlap (21, 'GLOBE', [596, 576, 601, 585], 'BUTTERFLY', [436, 579, 814, 582], 'NONE', 'NONE')
  overlap (21, 'GLOBE', [550, 576, 556, 585], 'BUTTERFLY', [436, 579, 814, 582], 'NONE', 'NONE')
  overlap (21, 'GLOBE', [280, 294, 284, 302], 'BUTTERFLY', [280, 129, 283, 474], 'NONE', 'NONE')
  overlap (21, 'GLOBE', [202, 258, 210, 264], 'BUTTERFLY', [204, 125, 208, 472], 'NONE', 'NONE')
  overlap (21, 'GATE', [484, 319, 489, 328], 'BUTTERFLY', [196, 319, 486, 322], 'NONE', 'NONE')
  overlap (23, 'CHECK', [863, 183, 871, 188], 'BUTTERFLY', [770, 182, 994, 184], 'NONE', 'NONE')
  overlap (23, 'GATE', [891, 183, 899, 188], 'BUTTERFLY', [770, 182, 994, 184], 'NONE', 'NONE')
