TC2 layout act_box (9.0, 34.0) body_short (5.0, 30.0)
TC2 CHECK bodies 90 | THREE-WAY candidates 0 | overlapping bodies of different kind 189 | phantom round bodies 534 | uncovered apex-to-apex triangle pairs 15
  phantom (18, 'BUTTERFLY', [545, 525, 677, 529], 3.5, [70.7, 60.5])
  phantom (18, 'BUTTERFLY', [233, 467, 410, 471], 4.4, [91.6, 86.0])
  phantom (18, 'BUTTERFLY', [233, 612, 410, 616], 4.4, [91.6, 86.0])
  phantom (18, 'BUTTERFLY', [233, 626, 410, 631], 4.4, [91.7, 86.0])
  phantom (18, 'BUTTERFLY', [706, 245, 802, 247], 2.0, [57.2, 39.3])
  phantom (22, 'BUTTERFLY', [397, 264, 572, 267], 3.0, [105.4, 70.3])
  phantom (22, 'BUTTERFLY', [536, 325, 664, 328], 3.0, [55.6, 72.9])
  phantom (22, 'BUTTERFLY', [432, 300, 818, 306], 6.1, [178.9, 206.6])
  phantom (22, 'BUTTERFLY', [397, 277, 568, 280], 3.0, [105.4, 65.4])
  phantom (22, 'BUTTERFLY', [572, 298, 818, 301], 3.0, [92.0, 153.5])
  phantom (22, 'BUTTERFLY', [397, 544, 572, 547], 3.0, [104.2, 71.5])
  phantom (22, 'BUTTERFLY', [397, 555, 568, 558], 3.0, [104.2, 66.6])
  phantom (22, 'BUTTERFLY', [611, 310, 818, 313], 3.0, [53.0, 153.5])
  phantom (22, 'BUTTERFLY', [354, 526, 468, 529], 3.0, [63.8, 49.7])
  phantom (22, 'BUTTERFLY', [416, 389, 419, 615], 3.0, [128.4, 97.7])
  phantom (22, 'BUTTERFLY', [224, 194, 332, 197], 3.0, [57.9, 50.3])
  phantom (22, 'BUTTERFLY', [453, 578, 566, 581], 3.0, [63.7, 49.3])
  phantom (22, 'BUTTERFLY', [453, 578, 560, 581], 3.0, [57.5, 49.4])
  phantom (22, 'BUTTERFLY', [453, 567, 566, 570], 3.0, [63.7, 49.3])
  phantom (22, 'BUTTERFLY', [453, 567, 560, 570], 3.0, [57.5, 49.4])
  phantom (22, 'BUTTERFLY', [453, 299, 566, 302], 3.0, [63.7, 49.3])
  phantom (22, 'BUTTERFLY', [453, 299, 560, 302], 3.0, [57.5, 49.4])
  phantom (22, 'BUTTERFLY', [453, 288, 566, 291], 3.0, [63.7, 49.3])
  phantom (22, 'BUTTERFLY', [512, 288, 664, 291], 3.0, [49.3, 103.2])
  phantom (22, 'BUTTERFLY', [453, 288, 560, 291], 3.0, [57.5, 49.4])
  phantom (22, 'BUTTERFLY', [518, 288, 664, 291], 3.0, [49.5, 97.0])
  phantom (22, 'BUTTERFLY', [440, 242, 572, 245], 3.0, [49.3, 82.6])
  phantom (22, 'BUTTERFLY', [447, 242, 572, 245], 3.0, [49.3, 76.5])
  phantom (22, 'BUTTERFLY', [440, 231, 572, 234], 3.0, [49.3, 82.6])
  phantom (22, 'BUTTERFLY', [447, 231, 572, 234], 3.0, [49.3, 76.5])
  phantom (22, 'BUTTERFLY', [488, 389, 491, 605], 3.0, [133.5, 82.2])
  phantom (22, 'BUTTERFLY', [444, 364, 447, 566], 3.0, [147.0, 54.6])
  phantom (22, 'BUTTERFLY', [438, 364, 441, 600], 3.0, [147.0, 89.0])
  phantom (22, 'BUTTERFLY', [494, 360, 497, 608], 3.0, [151.5, 96.6])
  phantom (22, 'BUTTERFLY', [255, 294, 258, 550], 3.0, [149.0, 107.8])
  phantom (22, 'BUTTERFLY', [280, 316, 283, 570], 3.0, [114.9, 139.1])
  phantom (22, 'BUTTERFLY', [390, 305, 511, 308], 3.0, [62.4, 57.7])
  phantom (22, 'BUTTERFLY', [400, 294, 502, 297], 3.0, [53.4, 49.3])
  phantom (22, 'BUTTERFLY', [294, 219, 297, 407], 3.0, [80.8, 107.2])
  phantom (22, 'BUTTERFLY', [193, 335, 406, 338], 3.0, [126.1, 86.8])
  phantom (22, 'BUTTERFLY', [274, 299, 390, 302], 3.0, [63.6, 53.2])
  phantom (22, 'BUTTERFLY', [274, 576, 390, 579], 3.0, [63.6, 53.2])
  phantom (22, 'BUTTERFLY', [388, 358, 536, 361], 3.0, [76.9, 71.3])
  phantom (22, 'BUTTERFLY', [468, 346, 592, 349], 3.0, [51.3, 71.8])
  phantom (22, 'BUTTERFLY', [478, 346, 592, 349], 3.0, [53.7, 59.5])
  phantom (22, 'BUTTERFLY', [297, 299, 412, 302], 3.0, [57.0, 57.9])
  phantom (22, 'BUTTERFLY', [297, 299, 432, 302], 3.0, [76.4, 59.1])
  phantom (22, 'BUTTERFLY', [297, 577, 412, 580], 3.0, [56.9, 57.9])
  phantom (22, 'BUTTERFLY', [297, 577, 432, 580], 3.0, [76.1, 59.3])
  phantom (22, 'BUTTERFLY', [388, 636, 536, 639], 3.0, [76.9, 71.3])
  phantom (22, 'BUTTERFLY', [404, 224, 407, 376], 3.0, [97.3, 55.0])
  phantom (22, 'BUTTERFLY', [415, 328, 591, 331], 3.0, [73.1, 102.7])
  phantom (22, 'BUTTERFLY', [572, 267, 730, 270], 3.0, [98.1, 59.0])
  phantom (22, 'BUTTERFLY', [572, 279, 730, 282], 3.0, [98.1, 59.0])
  phantom (22, 'BUTTERFLY', [415, 606, 592, 609], 3.0, [73.1, 103.3])
  phantom (22, 'BUTTERFLY', [404, 503, 407, 655], 3.0, [96.7, 55.0])
  phantom (22, 'BUTTERFLY', [319, 608, 536, 611], 3.0, [107.2, 109.7])
  phantom (22, 'BUTTERFLY', [390, 583, 511, 586], 3.0, [62.4, 57.7])
  phantom (22, 'BUTTERFLY', [400, 572, 511, 575], 3.0, [53.4, 57.7])
  phantom (22, 'BUTTERFLY', [729, 356, 732, 534], 3.0, [80.2, 97.9])
  phantom (22, 'BUTTERFLY', [388, 346, 516, 349], 3.0, [65.4, 63.0])
  phantom (22, 'BUTTERFLY', [388, 625, 516, 628], 3.0, [66.0, 62.4])
  phantom (22, 'BUTTERFLY', [504, 373, 510, 626], 6.1, [150.9, 102.2])
  phantom (22, 'BUTTERFLY', [254, 195, 260, 431], 6.1, [108.6, 126.8])
  phantom (23, 'BUTTERFLY', [625, 176, 844, 179], 3.5, [77.6, 141.6])
  phantom (23, 'BUTTERFLY', [625, 271, 920, 275], 3.5, [173.7, 121.9])
  phantom (23, 'BUTTERFLY', [856, 94, 859, 232], 3.0, [73.8, 64.1])
  phantom (23, 'BUTTERFLY', [515, 138, 520, 552], 5.3, [139.9, 273.6])
  phantom (23, 'BUTTERFLY', [324, 351, 326, 552], 2.0, [103.3, 97.6])
  phantom (23, 'BUTTERFLY', [72, 602, 338, 605], 3.0, [145.7, 120.9])
  phantom (24, 'BUTTERFLY', [618, 446, 621, 584], 3.0, [64.8, 72.7])
  phantom (24, 'BUTTERFLY', [683, 132, 685, 233], 2.0, [39.1, 61.5])
  phantom (24, 'BUTTERFLY', [430, 494, 749, 501], 7.1, [189.4, 130.3])
  phantom (25, 'BUTTERFLY', [170, 190, 262, 192], 2.0, [36.9, 54.6])
  phantom (25, 'BUTTERFLY', [534, 343, 700, 346], 3.5, [60.2, 105.1])
  phantom (25, 'BUTTERFLY', [186, 145, 188, 225], 2.0, [45.5, 34.3])
  phantom (25, 'BUTTERFLY', [369, 402, 530, 405], 3.0, [80.7, 80.2])
  phantom (25, 'BUTTERFLY', [393, 392, 504, 394], 2.0, [73.1, 38.3])
  phantom (25, 'BUTTERFLY', [534, 401, 700, 405], 3.5, [60.2, 105.1])
  phantom (25, 'BUTTERFLY', [570, 330, 666, 332], 2.0, [51.2, 44.7])
  phantom (25, 'BUTTERFLY', [637, 395, 720, 397], 2.0, [45.1, 38.1])
  phantom (25, 'BUTTERFLY', [637, 337, 720, 339], 2.0, [45.1, 38.1])
  phantom (25, 'BALL', [780, 366, 870, 368], 2.0, [57.1, 33.5])
  phantom (25, 'BUTTERFLY', [264, 226, 496, 230], 3.8, [74.9, 157.6])
  phantom (25, 'BUTTERFLY', [337, 86, 340, 362], 3.8, [122.8, 153.2])
  phantom (25, 'BUTTERFLY', [222, 231, 382, 235], 3.8, [70.1, 89.9])
  phantom (25, 'BUTTERFLY', [222, 204, 382, 208], 3.8, [70.1, 89.9])
  phantom (25, 'BUTTERFLY', [651, 397, 776, 400], 3.0, [64.9, 59.3])
  phantom (25, 'BUTTERFLY', [651, 339, 776, 342], 3.0, [64.9, 59.3])
  phantom (25, 'BUTTERFLY', [570, 389, 666, 391], 2.0, [51.2, 44.7])
  phantom (25, 'BUTTERFLY', [315, 260, 318, 394], 3.0, [55.2, 78.7])
  phantom (25, 'BUTTERFLY', [534, 458, 700, 462], 3.5, [60.2, 105.1])
  phantom (25, 'BUTTERFLY', [698, 359, 700, 456], 2.0, [49.5, 47.5])
  phantom (25, 'BUTTERFLY', [483, 389, 487, 516], 3.5, [69.1, 57.4])
  phantom (25, 'BUTTERFLY', [465, 403, 467, 495], 2.0, [45.3, 46.1])
  phantom (25, 'BUTTERFLY', [637, 452, 720, 454], 2.0, [45.1, 38.1])
  phantom (25, 'BUTTERFLY', [698, 417, 700, 511], 2.0, [47.7, 46.3])
  phantom (25, 'BUTTERFLY', [570, 445, 666, 447], 2.0, [51.2, 44.7])
  phantom (25, 'BUTTERFLY', [587, 787, 1120, 794], 7.1, [197.6, 334.6])
  phantom (25, 'BUTTERFLY', [534, 514, 700, 517], 3.5, [60.2, 105.1])
  phantom (25, 'BUTTERFLY', [637, 508, 720, 510], 2.0, [45.1, 38.1])
  phantom (25, 'BUTTERFLY', [570, 501, 666, 503], 2.0, [51.2, 44.7])
  phantom (25, 'BUTTERFLY', [393, 400, 543, 403], 3.5, [92.1, 57.7])
  phantom (26, 'BALL', [475, 619, 638, 621], 2.0, [81.5, 81.3])
  phantom (26, 'BALL', [149, 380, 151, 448], 2.0, [33.7, 33.8])
  phantom (27, 'BUTTERFLY', [561, 612, 804, 616], 4.2, [146.7, 95.5])
  phantom (27, 'BUTTERFLY', [821, 458, 825, 704], 4.2, [155.8, 90.8])
  phantom (29, 'BUTTERFLY', [354, 198, 358, 388], 4.0, [90.1, 100.0])
  phantom (29, 'BUTTERFLY', [376, 198, 380, 388], 4.0, [90.1, 100.0])
  phantom (29, 'BUTTERFLY', [332, 198, 336, 388], 4.0, [90.1, 100.0])
  phantom (29, 'BALL', [699, 209, 702, 368], 3.5, [77.1, 81.9])
  phantom (29, 'BUTTERFLY', [392, 309, 810, 316], 7.1, [292.5, 125.0])
  phantom (29, 'BALL', [699, 209, 702, 408], 3.5, [117.0, 81.9])
  phantom (29, 'BALL', [705, 326, 855, 330], 4.0, [65.6, 84.9])
  phantom (29, 'BALL', [717, 326, 855, 330], 4.0, [72.9, 65.4])
  phantom (29, 'BALL', [699, 288, 702, 459], 3.5, [78.3, 92.7])
  phantom (30, 'BALL', [479, 638, 549, 640], 2.0, [35.1, 34.9])
  phantom (30, 'BUTTERFLY', [777, 601, 781, 771], 3.5, [108.2, 61.7])
  phantom (30, 'BALL', [218, 279, 222, 511], 4.0, [115.7, 116.1])
  phantom (30, 'BUTTERFLY', [163, 258, 670, 265], 7.1, [367.3, 139.0])
  phantom (30, 'BALL', [547, 279, 551, 511], 4.0, [115.7, 116.1])
  phantom (31, 'BALL', [271, 312, 427, 315], 3.2, [76.1, 79.4])
  phantom (31, 'BUTTERFLY', [321, 298, 611, 302], 4.0, [192.4, 97.9])
