data/pid_total.pdf {'tags': 198, 'leader_hits_nothing': 49, 'no_leader': 140, 'same': 9}
   p37  PSV   leaders=1 len=22.7  nearest=GATE  leader=None  neard=159.8
   p37  PSV   leaders=1 len=22.7  nearest=GATE  leader=None  neard=159.8
   p37  PSV   leaders=1 len=22.7  nearest=GATE  leader=None  neard=155.9
   p37  PSV   leaders=1 len=22.7  nearest=GATE  leader=None  neard=155.9
   p37  PSV   leaders=1 len=22.7  nearest=GATE  leader=None  neard=157.8
   p38  PSV   leaders=1 len=22.7  nearest=GATE  leader=None  neard=167.8
   p38  PSV   leaders=1 len=22.7  nearest=GATE  leader=None  neard=167.8
   p38  PSV   leaders=1 len=22.7  nearest=GATE  leader=None  neard=167.8
   p38  PSV   leaders=1 len=22.7  nearest=GATE  leader=None  neard=167.8
   p38  PSV   leaders=1 len=22.7  nearest=GATE  leader=None  neard=167.8
   p38  PSV   leaders=1 len=22.7  nearest=GATE  leader=None  neard=167.8
   p38  PSV   leaders=1 len=22.7  nearest=GATE  leader=None  neard=167.8
   p38  PSV   leaders=1 len=22.7  nearest=GATE  leader=None  neard=167.8
   p39  PSV   leaders=1 len=22.7  nearest=GATE  leader=None  neard=167.8
   p39  PSV   leaders=1 len=22.7  nearest=GATE  leader=None  neard=167.8
   p39  PSV   leaders=1 len=22.7  nearest=GATE  leader=None  neard=167.8
   p39  PSV   leaders=1 len=22.7  nearest=GATE  leader=None  neard=167.8
   p39  PSV   leaders=1 len=22.7  nearest=GATE  leader=None  neard=167.8
   p39  PSV   leaders=1 len=22.7  nearest=GATE  leader=None  neard=167.8
   p39  PSV   leaders=1 len=22.7  nearest=GATE  leader=None  neard=167.8
   p40  PSV   leaders=0 len=None  nearest=BUTTERFLY  leader=None  neard=148.6
   p40  PSV   leaders=1 len=27.5  nearest=GATE  leader=None  neard=167.5
   p41  PSV   leaders=0 len=None  nearest=BUTTERFLY  leader=None  neard=148.6
   p41  PSV   leaders=1 len=27.5  nearest=GATE  leader=None  neard=167.5
   p42  PSV   leaders=0 len=None  nearest=BALL  leader=None  neard=93.8
   p42  PSV   leaders=0 len=None  nearest=BALL  leader=None  neard=93.8
   p46  MOV   leaders=0 len=None  nearest=GLOBE  leader=None  neard=59.6
   p46  MOV   leaders=0 len=None  nearest=GATE  leader=None  neard=94.1
   p47  MOV   leaders=1 len=24.7  nearest=GLOBE  leader=None  neard=59.7
   p47  MOV   leaders=0 len=None  nearest=GATE  leader=None  neard=94.1
   p49  MOV   leaders=1 len=68.7  nearest=GATE  leader=GATE  neard=94.4
   p49  MOV   leaders=0 len=None  nearest=GATE  leader=None  neard=94.4
   p51  MOV   leaders=1 len=40.4  nearest=GATE  leader=GATE  neard=72.8
